user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
75184478,421855,10719112,2023-12-26 00:37:46,2025-04-06 21:27:22,Shangri-La Frontier
75184478,422090,10049923,2023-12-31 09:40:11,2023-12-31 09:40:11,Dark Gathering
75184478,423075,11209916,2025-02-20 17:49:25,2025-09-30 06:30:40,Kaiju No. 8
75184478,423257,10192575,2025-12-28 02:47:59,2026-04-26 04:06:39,Delicious in Dungeon
75184478,423732,10842957,2025-02-19 13:33:11,2025-09-23 02:46:57,SAKAMOTO DAYS
75184478,424536,11447773,2024-06-13 21:28:02,2026-04-30 00:39:52,Frieren: Beyond Journey's End
75184478,426572,11354547,2025-12-10 04:07:17,2025-12-28 00:39:52,Campfire Cooking in Another World with My Absurd Skill
75184478,429934,10720994,2026-01-10 13:34:13,2026-01-14 12:06:24,Blue Box
75184478,431162,10842652,2025-01-18 13:22:57,2026-01-10 12:36:58,The Apothecary Diaries
75184478,432832,11217482,2024-11-02 10:45:09,2025-10-11 16:42:53,DAN DA DAN
75184478,433375,10739837,2024-10-18 03:17:26,2024-10-18 03:17:26,Gutar Gu
75184478,433631,11390662,2026-03-02 08:37:03,2026-03-03 08:05:55,A Knight of the Seven Kingdoms
75184478,437266,11518450,2026-01-09 11:54:40,2026-04-26 04:06:39,Sentenced to Be a Hero
75184478,440897,10381470,2025-12-01 10:51:00,2025-12-06 12:14:24,Chillin' in Another World With Level 2 Super Cheat Powers
75184478,443377,10535666,2024-09-12 00:14:12,2024-10-10 16:13:23,Makeine: Too Many Losing Heroines!
75184478,443412,10246606,2024-02-21 18:15:55,2024-03-18 04:52:34,Dehati Ladke
75184478,446692,10571512,2026-02-14 04:47:10,2026-02-14 04:47:10,"Anyway, I'm Falling in Love with You."
75184478,447889,10521405,2025-03-08 12:12:49,2025-05-29 13:54:34,Very Parivarik
75184478,450537,11221462,2025-08-10 16:17:25,2026-01-31 13:51:15,Gachiakuta
75184478,454524,11230675,2025-08-04 02:16:16,2025-10-03 05:29:09,The Fragrant Flower Blooms with Dignity
75184478,454699,10705294,2024-11-23 13:32:54,2024-11-23 14:22:38,Ishq In The Air
75184478,455086,11686626,2026-05-19 10:59:36,2026-06-26 13:10:50,Off Campus
75184478,455684,11021549,2025-04-06 21:27:23,2025-08-16 05:15:37,The Beginning After the End
75184478,457645,11154064,2025-07-15 18:48:40,2025-12-31 12:31:10,Takopi's Original Sin
75184478,459453,11069553,2025-05-17 21:26:08,2025-10-21 15:39:55,To Be Hero X
75184478,464419,11202458,2026-06-26 02:09:54,2026-06-26 02:09:54,Lord of Mysteries
75184478,471423,11509804,2026-02-18 21:12:13,2026-02-18 22:44:48,Bhay: The Gaurav Tiwari Mystery
